ID,Country,City,Latitude,Longitude
100,"Taipei","Zhongzheng",121.5198839,25.03240487
130,"Taipei","Datong",121.5130417,25.06342433
104,"Taipei","Zhongshan",121.5381597,25.06969917
150,"Taipei","Songshan",121.5575876,25.05999101
106,"Taipei","Da'an",121.5434446,25.02677012
108,"Taipei","Wanhua",121.4979858,25.02858990
110,"Taipei","Xinyi",121.5716697,25.03062083
111,"Taipei","Shilin",121.5508473,25.12546704
112,"Taipei","Beitou",121.5177992,25.14806820
114,"Taipei","Neihu",121.5923828,25.08370623
115,"Taipei","Nangang",121.6097573,25.03600934
116,"Taipei","Wenshan",121.5736082,24.98857934
200,"Keelung","Ren'ai",121.7434205,25.11945421
201,"Keelung","Xinyi",121.772646,25.125765790
202,"Keelung","Zhongzheng",121.7783549,25.14365754
203,"Keelung","Zhongshan",121.7308913,25.14986365
204,"Keelung","Anle",121.7078325,25.14139521
205,"Keelung","Nuannuan",121.7447344,25.08097003
206,"Keelung","Qidu",121.683628,25.109620280
556,"Nantou","Xinyi",121.0212867,23.6554647
