1,I,10
12,O,10
1,I,1
12,O,1
2,I,10
6,O,10
2,I,2
6,O,2
3,I,10
13,O,10
4,I,3
9,O,3
5,I,8
1,O,8
6,I,4
20,O,4
7,I,7
16,O,7
8,I,10
23,O,10
8,I,1
23,O,1
9,I,3
19,O,3
10,I,10
7,O,10
10,I,2
7,O,2
11,I,6
10,O,6
12,I,8
8,O,8
13,I,3
11,O,3
14,I,10
21,O,10
14,I,1
21,O,1
15,I,5
25,O,5
16,I,10
22,O,10
16,I,2
22,O,2
17,I,10
14,O,10
17,I,2
14,O,2
18,I,10
4,O,10
18,I,1
4,O,1
19,I,10
5,O,10
19,I,2
5,O,2
20,I,4
18,O,4
21,I,8
3,O,8
22,I,10
26,O,10
22,I,2
26,O,2
23,I,10
15,O,10
23,I,2
15,O,2
24,I,10
17,O,10
24,I,4
17,O,4
25,I,10
27,O,10
25,I,3
27,O,3
26,I,3
24,O,3
27,I,10
2,O,10
